Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,Germany,DEU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,78.4840774536133,77.6236801147461,77.8464736938477,79.1142120361328,80.1641693115234,80.6187515258789,81.1279907226563,81.7228622436523,82.04736328125,82.3082504272461,82.9972076416016,83.083366394043,..
"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,Greece,GRC,..,30.7000007629395,..,..,..,..,..,..,..,..,..,..,..,..,..,48.9836807250977,44.4163703918457,52.171630859375,52.6665382385254,..,53.662281036377,..,..,..,56.2749290466309,57.9250907897949,..
"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,Hungary,HUN,40.8641014099121,..,..,..,..,..,..,..,..,..,..,55.0740013122559,..,..,..,63.5524215698242,..,..,..,74.5380096435547,75.6911087036133,76.6575622558594,77.6319808959961,78.487419128418,74.1223602294922,75.0991821289063,..
"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,Ireland,IRL,..,41.6716918945313,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,60.5434913635254,..,..,66.5854721069336,66.3703002929688,..,..,..,..,..
"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,Italy,ITA,..,..,..,..,..,..,..,..,..,..,..,35.4443511962891,..,..,..,40.4973793029785,41.4056587219238,43.0896492004395,43.9995613098145,44.7269515991211,45.5006904602051,46.1607398986816,47.2840003967285,..,48.6404800415039,49.1525802612305,..
"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,Luxembourg,LUX,..,..,..,..,..,..,..,..,..,..,..,39.947639465332,..,50.5293502807617,..,..,..,61.7216415405273,..,75.2600784301758,75.5208282470703,74.9149398803711,76.2488784790039,78.2979965209961,79.5658493041992,..,..
"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,Netherlands,NLD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,64.7281494140625,64.9544906616211,..,67.44873046875,66.2211532592773,66.3446197509766,66.7723236083984,66.4095993041992,67.0986328125,69.5296936035156,69.4222030639648,69.570442199707,..
"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,Norway,NOR,66.0164337158203,..,..,..,..,..,..,..,..,..,..,..,..,..,80.6914978027344,71.2688980102539,73.2487030029297,73.6483612060547,74.9272384643555,74.8919067382813,75.414192199707,75.9920196533203,..,..,77.0060577392578,77.4857177734375,..
"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,Portugal,PRT,..,..,..,..,..,..,..,..,14.5487804412842,15.2565402984619,15.67506980896,16.4253997802734,16.7417106628418,18.4442596435547,20.3303508758545,21.3362998962402,22.4099292755127,22.2938194274902,22.7975196838379,24.0550308227539,25.5953102111816,27.8761291503906,30.022819519043,31.8690605163574,34.2075881958008,35.4289283752441,..
"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,Poland,POL,..,..,..,..,..,..,..,..,..,..,..,..,71.89013671875,..,..,..,..,..,78.8397903442383,79.9086532592773,80.8199768066406,81.5495910644531,82.0938491821289,82.8486328125,83.4857788085938,..,..
"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,Slovak Republic,SVK,..,..,..,..,..,..,..,..,..,..,..,41.753978729248,..,..,..,..,..,..,..,..,..,84.8493118286133,85.3790512084961,85.9608764648438,85.3176193237305,86.6858291625977,..
"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,Slovenia,SVN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,74.0511016845703,73.6207885742188,75.0342864990234,73.2106323242188,75.8000183105469,77.3182067871094,77.6738128662109,78.4461669921875,79.1578216552734,79.7796478271484,80.0910873413086,81.5032730102539,..
"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,Sweden,SWE,58.7847518920898,60.0308303833008,62.7166481018066,64.5060424804688,65.7017288208008,67.0355377197266,..,..,..,..,..,..,..,..,78.2497787475586,79.0401763916016,79.7420883178711,80.3960723876953,76.2738800048828,76.9570770263672,77.6163787841797,78.3214797973633,79.0048828125,73.9167327880859,74.4703674316406,75.0337524414063,..
"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,Switzerland,CHE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,82.7161178588867,82.4545669555664,82.3553924560547,83.2414627075195,..,84.6438522338867,85.1900100708008,..
"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,Spain,ESP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,37.2616500854492,40.3894195556641,41.4418296813965,42.3230590820313,42.8323707580566,43.3348388671875,44.2518196105957,45.265308380127,45.6011505126953,..,47.2372512817383,47.8630485534668,..
"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,Turkey,TUR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21.0269203186035,22.1900291442871,23.2007503509521,23.6856708526611,26.4928703308105,27.7024993896484,29.9863891601563,31.7986698150635,32.7662582397461,33.7585105895996,35.237419128418,37.073558807373,..
"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,United Arab Emirates,ARE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,47.1061515808105,..,..,..,..,..,..,..,..,..,..,..
"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,United Kingdom,GBR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,84.6721725463867,86.4258270263672,86.0834426879883,87.7356567382813,74.0022735595703,74.7063903808594,..,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 06/30/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
