"COUNTRY","Country","SERIES","Series","PERIOD","Pay period","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"LUX","Luxembourg","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","1992","1992","USD","US Dollar","0","Units",,,17730.762,,
"LUX","Luxembourg","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","1993","1993","USD","US Dollar","0","Units",,,18333.529,,
"LUX","Luxembourg","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","1994","1994","USD","US Dollar","0","Units",,,18562.342,,
"LUX","Luxembourg","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","1995","1995","USD","US Dollar","0","Units",,,19175.91,,
"LUX","Luxembourg","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","1996","1996","USD","US Dollar","0","Units",,,19106.898,,
"LUX","Luxembourg","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","1997","1997","USD","US Dollar","0","Units",,,19899.152,,
"LUX","Luxembourg","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","1998","1998","USD","US Dollar","0","Units",,,19750.377,,
"LUX","Luxembourg","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","1999","1999","USD","US Dollar","0","Units",,,20011.021,,
"LUX","Luxembourg","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2000","2000","USD","US Dollar","0","Units",,,19925.521,,
"LUX","Luxembourg","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2001","2001","USD","US Dollar","0","Units",,,20637.07,,
"LUX","Luxembourg","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2002","2002","USD","US Dollar","0","Units",,,20596.047,,
"LUX","Luxembourg","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2003","2003","USD","US Dollar","0","Units",,,21366.678,,
"LUX","Luxembourg","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2004","2004","USD","US Dollar","0","Units",,,21335.592,,
"LUX","Luxembourg","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2005","2005","USD","US Dollar","0","Units",,,21764.568,,
"LUX","Luxembourg","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2006","2006","USD","US Dollar","0","Units",,,21639.123,,
"LUX","Luxembourg","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2007","2007","USD","US Dollar","0","Units",,,22044.701,,
"LUX","Luxembourg","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2008","2008","USD","US Dollar","0","Units",,,21763.514,,
"LUX","Luxembourg","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2009","2009","USD","US Dollar","0","Units",,,22670.305,,
"LUX","Luxembourg","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2010","2010","USD","US Dollar","0","Units",,,22534.82,,
"LUX","Luxembourg","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2011","2011","USD","US Dollar","0","Units",,,22619.83,,
"LUX","Luxembourg","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2012","2012","USD","US Dollar","0","Units",,,22583.826,,
"LUX","Luxembourg","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2013","2013","USD","US Dollar","0","Units",,,22840.506,,
"LUX","Luxembourg","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2014","2014","USD","US Dollar","0","Units",,,23401.492,,
"LUX","Luxembourg","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2015","2015","USD","US Dollar","0","Units",,,23290.914,,
"LUX","Luxembourg","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2016","2016","USD","US Dollar","0","Units",,,22836.064,,
"PRT","Portugal","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","1991","1991","USD","US Dollar","0","Units",,,8288.7129,,
"PRT","Portugal","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","1992","1992","USD","US Dollar","0","Units",,,8395.6387,,
"PRT","Portugal","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","1993","1993","USD","US Dollar","0","Units",,,8374.6484,,
"PRT","Portugal","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","1994","1994","USD","US Dollar","0","Units",,,8262.4756,,
"PRT","Portugal","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","1995","1995","USD","US Dollar","0","Units",,,8361.8896,,
"PRT","Portugal","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","1996","1996","USD","US Dollar","0","Units",,,8518.5459,,
"PRT","Portugal","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","1997","1997","USD","US Dollar","0","Units",,,8644.1865,,
"PRT","Portugal","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","1998","1998","USD","US Dollar","0","Units",,,8754.3604,,
"PRT","Portugal","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","1999","1999","USD","US Dollar","0","Units",,,8902.7275,,
"PRT","Portugal","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2000","2000","USD","US Dollar","0","Units",,,9008.7871,,
"PRT","Portugal","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2001","2001","USD","US Dollar","0","Units",,,9064.5254,,
"PRT","Portugal","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2002","2002","USD","US Dollar","0","Units",,,9111.2207,,
"PRT","Portugal","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2003","2003","USD","US Dollar","0","Units",,,9044.958,,
"PRT","Portugal","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2004","2004","USD","US Dollar","0","Units",,,9058.9609,,
"PRT","Portugal","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2005","2005","USD","US Dollar","0","Units",,,9077.7285,,
"PRT","Portugal","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2006","2006","USD","US Dollar","0","Units",,,9067.2871,,
"PRT","Portugal","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2007","2007","USD","US Dollar","0","Units",,,9242.2744,,
"PRT","Portugal","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2008","2008","USD","US Dollar","0","Units",,,9523.2383,,
"PRT","Portugal","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2009","2009","USD","US Dollar","0","Units",,,10144.52,,
"PRT","Portugal","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2010","2010","USD","US Dollar","0","Units",,,10559.993,,
"PRT","Portugal","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2011","2011","USD","US Dollar","0","Units",,,10402.312,,
"PRT","Portugal","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2012","2012","USD","US Dollar","0","Units",,,10121.601,,
"PRT","Portugal","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2013","2013","USD","US Dollar","0","Units",,,10093.904,,
"PRT","Portugal","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2014","2014","USD","US Dollar","0","Units",,,10226.408,,
"PRT","Portugal","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2015","2015","USD","US Dollar","0","Units",,,10488.292,,
"PRT","Portugal","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2016","2016","USD","US Dollar","0","Units",,,10941.056,,
"USA","United States","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","1991","1991","USD","US Dollar","0","Units",,,14977.186,,
"USA","United States","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","1992","1992","USD","US Dollar","0","Units",,,14932.153,,
"USA","United States","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","1993","1993","USD","US Dollar","0","Units",,,14504.044,,
"USA","United States","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","1994","1994","USD","US Dollar","0","Units",,,14135.469,,
"USA","United States","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","1995","1995","USD","US Dollar","0","Units",,,13749.731,,
"USA","United States","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","1996","1996","USD","US Dollar","0","Units",,,13751.063,,
"USA","United States","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","1997","1997","USD","US Dollar","0","Units",,,14997.704,,
"USA","United States","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","1998","1998","USD","US Dollar","0","Units",,,15575.435,,
"USA","United States","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","1999","1999","USD","US Dollar","0","Units",,,15241.935,,
"USA","United States","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2000","2000","USD","US Dollar","0","Units",,,14744.051,,
"USA","United States","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2001","2001","USD","US Dollar","0","Units",,,14338.811,,
"USA","United States","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2002","2002","USD","US Dollar","0","Units",,,14114.945,,
"USA","United States","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2003","2003","USD","US Dollar","0","Units",,,13801.634,,
"USA","United States","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2004","2004","USD","US Dollar","0","Units",,,13441.766,,
"USA","United States","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2005","2005","USD","US Dollar","0","Units",,,13000.686,,
"USA","United States","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2006","2006","USD","US Dollar","0","Units",,,12594.397,,
"USA","United States","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2007","2007","USD","US Dollar","0","Units",,,12974.395,,
"USA","United States","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2008","2008","USD","US Dollar","0","Units",,,14097.556,,
"USA","United States","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2009","2009","USD","US Dollar","0","Units",,,15756.423,,
"USA","United States","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2010","2010","USD","US Dollar","0","Units",,,16391.313,,
"USA","United States","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2011","2011","USD","US Dollar","0","Units",,,15889.705,,
"USA","United States","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2012","2012","USD","US Dollar","0","Units",,,15567.554,,
"USA","United States","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2013","2013","USD","US Dollar","0","Units",,,15342.814,,
"USA","United States","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2014","2014","USD","US Dollar","0","Units",,,15097.89,,
"USA","United States","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2015","2015","USD","US Dollar","0","Units",,,15080,,
"USA","United States","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2016","2016","USD","US Dollar","0","Units",,,14892.122,,
"EST","Estonia","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","1998","1998","USD","US Dollar","0","Units",,,2536.8931,,
"EST","Estonia","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","1999","1999","USD","US Dollar","0","Units",,,2790.842,,
"EST","Estonia","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2000","2000","USD","US Dollar","0","Units",,,3005.0161,,
"EST","Estonia","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2001","2001","USD","US Dollar","0","Units",,,3247.5979,,
"EST","Estonia","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2002","2002","USD","US Dollar","0","Units",,,3625.5491,,
"EST","Estonia","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2003","2003","USD","US Dollar","0","Units",,,4177.3032,,
"EST","Estonia","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2004","2004","USD","US Dollar","0","Units",,,4654.293,,
"EST","Estonia","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2005","2005","USD","US Dollar","0","Units",,,4850.5249,,
"EST","Estonia","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2006","2006","USD","US Dollar","0","Units",,,5179.6499,,
"EST","Estonia","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2007","2007","USD","US Dollar","0","Units",,,5830.6699,,
"EST","Estonia","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2008","2008","USD","US Dollar","0","Units",,,6383.8848,,
"EST","Estonia","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2009","2009","USD","US Dollar","0","Units",,,6388.894,,
"EST","Estonia","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2010","2010","USD","US Dollar","0","Units",,,6204.4941,,
"EST","Estonia","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2011","2011","USD","US Dollar","0","Units",,,5910.0601,,
"EST","Estonia","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2012","2012","USD","US Dollar","0","Units",,,5932.1382,,
"EST","Estonia","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2013","2013","USD","US Dollar","0","Units",,,6368.1611,,
"EST","Estonia","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2014","2014","USD","US Dollar","0","Units",,,7072.6411,,
"EST","Estonia","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2015","2015","USD","US Dollar","0","Units",,,7807.5259,,
"EST","Estonia","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2016","2016","USD","US Dollar","0","Units",,,8594.9775,,
"CAN","Canada","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","1991","1991","USD","US Dollar","0","Units",,,12312.554,,
"CAN","Canada","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","1992","1992","USD","US Dollar","0","Units",,,13041.657,,
"CAN","Canada","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","1993","1993","USD","US Dollar","0","Units",,,13329.647,,
"CAN","Canada","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","1994","1994","USD","US Dollar","0","Units",,,13742.055,,
"CAN","Canada","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","1995","1995","USD","US Dollar","0","Units",,,13855.901,,
"CAN","Canada","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","1996","1996","USD","US Dollar","0","Units",,,14038.341,,
"CAN","Canada","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","1997","1997","USD","US Dollar","0","Units",,,13987.873,,
"CAN","Canada","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","1998","1998","USD","US Dollar","0","Units",,,13957.3,,
"CAN","Canada","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","1999","1999","USD","US Dollar","0","Units",,,13972.571,,
"CAN","Canada","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2000","2000","USD","US Dollar","0","Units",,,13705.395,,
"CAN","Canada","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2001","2001","USD","US Dollar","0","Units",,,13548.217,,
"CAN","Canada","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2002","2002","USD","US Dollar","0","Units",,,13405.794,,
"CAN","Canada","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2003","2003","USD","US Dollar","0","Units",,,13217.572,,
"CAN","Canada","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2004","2004","USD","US Dollar","0","Units",,,13238.716,,
"CAN","Canada","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2005","2005","USD","US Dollar","0","Units",,,13355.05,,
"CAN","Canada","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2006","2006","USD","US Dollar","0","Units",,,13649.689,,
"CAN","Canada","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2007","2007","USD","US Dollar","0","Units",,,13785.935,,
"CAN","Canada","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2008","2008","USD","US Dollar","0","Units",,,14342.762,,
"CAN","Canada","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2009","2009","USD","US Dollar","0","Units",,,15190.474,,
"CAN","Canada","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2010","2010","USD","US Dollar","0","Units",,,15732.952,,
"CAN","Canada","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2011","2011","USD","US Dollar","0","Units",,,15778.273,,
"CAN","Canada","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2012","2012","USD","US Dollar","0","Units",,,16074.195,,
"CAN","Canada","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2013","2013","USD","US Dollar","0","Units",,,16180.089,,
"CAN","Canada","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2014","2014","USD","US Dollar","0","Units",,,16284.476,,
"CAN","Canada","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2015","2015","USD","US Dollar","0","Units",,,16536.828,,
"CAN","Canada","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2016","2016","USD","US Dollar","0","Units",,,16792.385,,
"FRA","France","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","1991","1991","USD","US Dollar","0","Units",,,16677.248,,
"FRA","France","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","1992","1992","USD","US Dollar","0","Units",,,16931.695,,
"FRA","France","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","1993","1993","USD","US Dollar","0","Units",,,17009.301,,
"FRA","France","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","1994","1994","USD","US Dollar","0","Units",,,17098.813,,
"FRA","France","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","1995","1995","USD","US Dollar","0","Units",,,17313.648,,
"FRA","France","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","1996","1996","USD","US Dollar","0","Units",,,17585.895,,
"FRA","France","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","1997","1997","USD","US Dollar","0","Units",,,17882.268,,
"FRA","France","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","1998","1998","USD","US Dollar","0","Units",,,18294.006,,
"FRA","France","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","1999","1999","USD","US Dollar","0","Units",,,18496.039,,
"FRA","France","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2000","2000","USD","US Dollar","0","Units",,,16695.805,,
"FRA","France","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2001","2001","USD","US Dollar","0","Units",,,17026.059,,
"FRA","France","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2002","2002","USD","US Dollar","0","Units",,,17241.148,,
"FRA","France","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2003","2003","USD","US Dollar","0","Units",,,17537.182,,
"FRA","France","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2004","2004","USD","US Dollar","0","Units",,,18124.619,,
"FRA","France","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2005","2005","USD","US Dollar","0","Units",,,18824.662,,
"FRA","France","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2006","2006","USD","US Dollar","0","Units",,,19295.826,,
"FRA","France","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2007","2007","USD","US Dollar","0","Units",,,19491.205,,
"FRA","France","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2008","2008","USD","US Dollar","0","Units",,,19529.021,,
"FRA","France","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2009","2009","USD","US Dollar","0","Units",,,19870.871,,
"FRA","France","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2010","2010","USD","US Dollar","0","Units",,,19738.678,,
"FRA","France","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2011","2011","USD","US Dollar","0","Units",,,19714.971,,
"FRA","France","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2012","2012","USD","US Dollar","0","Units",,,19968.049,,
"FRA","France","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2013","2013","USD","US Dollar","0","Units",,,20052.246,,
"FRA","France","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2014","2014","USD","US Dollar","0","Units",,,20162.414,,
"FRA","France","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2015","2015","USD","US Dollar","0","Units",,,20324.137,,
"FRA","France","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2016","2016","USD","US Dollar","0","Units",,,20413.598,,
"POL","Poland","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","1992","1992","USD","US Dollar","0","Units",,,4192.9692,,
"POL","Poland","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","1993","1993","USD","US Dollar","0","Units",,,4504.0732,,
"POL","Poland","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","1994","1994","USD","US Dollar","0","Units",,,4550.936,,
"POL","Poland","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","1995","1995","USD","US Dollar","0","Units",,,4714.7891,,
"POL","Poland","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","1996","1996","USD","US Dollar","0","Units",,,4885.1201,,
"POL","Poland","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","1997","1997","USD","US Dollar","0","Units",,,5128.4082,,
"POL","Poland","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","1998","1998","USD","US Dollar","0","Units",,,5339.355,,
"POL","Poland","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","1999","1999","USD","US Dollar","0","Units",,,5306.1372,,
"POL","Poland","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2000","2000","USD","US Dollar","0","Units",,,6172.3398,,
"POL","Poland","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2001","2001","USD","US Dollar","0","Units",,,6593.0259,,
"POL","Poland","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2002","2002","USD","US Dollar","0","Units",,,6469.7568,,
"POL","Poland","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2003","2003","USD","US Dollar","0","Units",,,6764.0928,,
"POL","Poland","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2004","2004","USD","US Dollar","0","Units",,,6739.0571,,
"POL","Poland","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2005","2005","USD","US Dollar","0","Units",,,6795.127,,
"POL","Poland","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2006","2006","USD","US Dollar","0","Units",,,7104.0459,,
"POL","Poland","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2007","2007","USD","US Dollar","0","Units",,,7218.9321,,
"POL","Poland","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2008","2008","USD","US Dollar","0","Units",,,8337.0762,,
"POL","Poland","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2009","2009","USD","US Dollar","0","Units",,,9102.2334,,
"POL","Poland","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2010","2010","USD","US Dollar","0","Units",,,9158.3535,,
"POL","Poland","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2011","2011","USD","US Dollar","0","Units",,,9246.1934,,
"POL","Poland","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2012","2012","USD","US Dollar","0","Units",,,9662.6768,,
"POL","Poland","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2013","2013","USD","US Dollar","0","Units",,,10205.613,,
"POL","Poland","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2014","2014","USD","US Dollar","0","Units",,,10710.136,,
"POL","Poland","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2015","2015","USD","US Dollar","0","Units",,,11254.773,,
"POL","Poland","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2016","2016","USD","US Dollar","0","Units",,,11977.516,,
"BEL","Belgium","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","1991","1991","USD","US Dollar","0","Units",,,20589.568,,
"BEL","Belgium","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","1992","1992","USD","US Dollar","0","Units",,,21374.545,,
"BEL","Belgium","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","1993","1993","USD","US Dollar","0","Units",,,21550.373,,
"BEL","Belgium","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","1994","1994","USD","US Dollar","0","Units",,,21461.428,,
"BEL","Belgium","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","1995","1995","USD","US Dollar","0","Units",,,21537.957,,
"BEL","Belgium","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","1996","1996","USD","US Dollar","0","Units",,,21381.219,,
"BEL","Belgium","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","1997","1997","USD","US Dollar","0","Units",,,21283.076,,
"BEL","Belgium","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","1998","1998","USD","US Dollar","0","Units",,,21397.668,,
