"TIME,""GEO"",""SPDEP"",""SPSCHEME"",""UNIT"",""Value"",""Flag and Footnotes"""
"1991,""Deutschland (bis 1990 früheres Gebiet der BRD)"",""Sozialleistungen mit Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Deutschland (bis 1990 früheres Gebiet der BRD)"",""Barleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Deutschland (bis 1990 früheres Gebiet der BRD)"",""Barleistungen (ohne Bedürftigkeitsprüfung)"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Estland"",""Sozialschutzleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Estland"",""Sozialleistungen ohne Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Estland"",""Sozialleistungen mit Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Estland"",""Barleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Estland"",""Barleistungen (ohne Bedürftigkeitsprüfung)"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Irland"",""Sozialschutzleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Irland"",""Sozialleistungen ohne Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Irland"",""Sozialleistungen mit Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Irland"",""Barleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Irland"",""Barleistungen (ohne Bedürftigkeitsprüfung)"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Griechenland"",""Sozialschutzleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Griechenland"",""Sozialleistungen ohne Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Griechenland"",""Sozialleistungen mit Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Griechenland"",""Barleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Griechenland"",""Barleistungen (ohne Bedürftigkeitsprüfung)"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Spanien"",""Sozialschutzleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Spanien"",""Sozialleistungen ohne Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Spanien"",""Sozialleistungen mit Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Spanien"",""Barleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Spanien"",""Barleistungen (ohne Bedürftigkeitsprüfung)"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Frankreich"",""Sozialschutzleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Frankreich"",""Sozialleistungen ohne Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Frankreich"",""Sozialleistungen mit Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Frankreich"",""Barleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Frankreich"",""Barleistungen (ohne Bedürftigkeitsprüfung)"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Kroatien"",""Sozialschutzleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Kroatien"",""Sozialleistungen ohne Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Kroatien"",""Sozialleistungen mit Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Kroatien"",""Barleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Kroatien"",""Barleistungen (ohne Bedürftigkeitsprüfung)"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Italien"",""Sozialschutzleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Italien"",""Sozialleistungen ohne Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Italien"",""Sozialleistungen mit Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Italien"",""Barleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Italien"",""Barleistungen (ohne Bedürftigkeitsprüfung)"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Zypern"",""Sozialschutzleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Zypern"",""Sozialleistungen ohne Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Zypern"",""Sozialleistungen mit Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Zypern"",""Barleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Zypern"",""Barleistungen (ohne Bedürftigkeitsprüfung)"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Lettland"",""Sozialschutzleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Lettland"",""Sozialleistungen ohne Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Lettland"",""Sozialleistungen mit Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Lettland"",""Barleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Lettland"",""Barleistungen (ohne Bedürftigkeitsprüfung)"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Litauen"",""Sozialschutzleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Litauen"",""Sozialleistungen ohne Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Litauen"",""Sozialleistungen mit Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Litauen"",""Barleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Litauen"",""Barleistungen (ohne Bedürftigkeitsprüfung)"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Luxemburg"",""Sozialschutzleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Luxemburg"",""Sozialleistungen ohne Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Luxemburg"",""Sozialleistungen mit Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Luxemburg"",""Barleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Luxemburg"",""Barleistungen (ohne Bedürftigkeitsprüfung)"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Ungarn"",""Sozialschutzleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Ungarn"",""Sozialleistungen ohne Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Ungarn"",""Sozialleistungen mit Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Ungarn"",""Barleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Ungarn"",""Barleistungen (ohne Bedürftigkeitsprüfung)"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Malta"",""Sozialschutzleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Malta"",""Sozialleistungen ohne Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Malta"",""Sozialleistungen mit Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Malta"",""Barleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Malta"",""Barleistungen (ohne Bedürftigkeitsprüfung)"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Niederlande"",""Sozialschutzleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Niederlande"",""Sozialleistungen ohne Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Niederlande"",""Sozialleistungen mit Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Niederlande"",""Barleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Niederlande"",""Barleistungen (ohne Bedürftigkeitsprüfung)"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Österreich"",""Sozialschutzleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Österreich"",""Sozialleistungen ohne Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Österreich"",""Sozialleistungen mit Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Österreich"",""Barleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Österreich"",""Barleistungen (ohne Bedürftigkeitsprüfung)"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Polen"",""Sozialschutzleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Polen"",""Sozialleistungen ohne Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Polen"",""Sozialleistungen mit Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Polen"",""Barleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Polen"",""Barleistungen (ohne Bedürftigkeitsprüfung)"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Portugal"",""Sozialschutzleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Portugal"",""Sozialleistungen ohne Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Portugal"",""Sozialleistungen mit Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Portugal"",""Barleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Portugal"",""Barleistungen (ohne Bedürftigkeitsprüfung)"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Rumänien"",""Sozialschutzleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Rumänien"",""Sozialleistungen ohne Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Rumänien"",""Sozialleistungen mit Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Rumänien"",""Barleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Rumänien"",""Barleistungen (ohne Bedürftigkeitsprüfung)"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Slowenien"",""Sozialschutzleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Slowenien"",""Sozialleistungen ohne Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Slowenien"",""Sozialleistungen mit Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Slowenien"",""Barleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Slowenien"",""Barleistungen (ohne Bedürftigkeitsprüfung)"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Slowakei"",""Sozialschutzleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Slowakei"",""Sozialleistungen ohne Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Slowakei"",""Sozialleistungen mit Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Slowakei"",""Barleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Slowakei"",""Barleistungen (ohne Bedürftigkeitsprüfung)"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Finnland"",""Sozialschutzleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Finnland"",""Sozialleistungen ohne Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Finnland"",""Sozialleistungen mit Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Finnland"",""Barleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Finnland"",""Barleistungen (ohne Bedürftigkeitsprüfung)"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Schweden"",""Sozialschutzleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Schweden"",""Sozialleistungen ohne Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Schweden"",""Sozialleistungen mit Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Schweden"",""Barleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Schweden"",""Barleistungen (ohne Bedürftigkeitsprüfung)"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Vereinigtes Königreich"",""Sozialschutzleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Vereinigtes Königreich"",""Sozialleistungen ohne Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Vereinigtes Königreich"",""Sozialleistungen mit Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Vereinigtes Königreich"",""Barleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Vereinigtes Königreich"",""Barleistungen (ohne Bedürftigkeitsprüfung)"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Island"",""Sozialschutzleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Island"",""Sozialleistungen ohne Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Island"",""Sozialleistungen mit Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Island"",""Barleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Island"",""Barleistungen (ohne Bedürftigkeitsprüfung)"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Norwegen"",""Sozialschutzleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Norwegen"",""Sozialleistungen ohne Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Norwegen"",""Sozialleistungen mit Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Norwegen"",""Barleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Norwegen"",""Barleistungen (ohne Bedürftigkeitsprüfung)"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Schweiz"",""Sozialschutzleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Schweiz"",""Sozialleistungen ohne Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Schweiz"",""Sozialleistungen mit Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Schweiz"",""Barleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Schweiz"",""Barleistungen (ohne Bedürftigkeitsprüfung)"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Serbien"",""Sozialschutzleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Serbien"",""Sozialleistungen ohne Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Serbien"",""Sozialleistungen mit Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Serbien"",""Barleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Serbien"",""Barleistungen (ohne Bedürftigkeitsprüfung)"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Türkei"",""Sozialschutzleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Türkei"",""Sozialleistungen ohne Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Türkei"",""Sozialleistungen mit Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Türkei"",""Barleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1991,""Türkei"",""Barleistungen (ohne Bedürftigkeitsprüfung)"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1992,""Belgien"",""Sozialschutzleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1992,""Belgien"",""Sozialleistungen ohne Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1992,""Belgien"",""Sozialleistungen mit Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1992,""Belgien"",""Barleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1992,""Belgien"",""Barleistungen (ohne Bedürftigkeitsprüfung)"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1992,""Bulgarien"",""Sozialschutzleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1992,""Bulgarien"",""Sozialleistungen ohne Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1992,""Bulgarien"",""Sozialleistungen mit Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1992,""Bulgarien"",""Barleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1992,""Bulgarien"",""Barleistungen (ohne Bedürftigkeitsprüfung)"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1992,""Tschechische Republik"",""Sozialschutzleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1992,""Tschechische Republik"",""Sozialleistungen ohne Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1992,""Tschechische Republik"",""Sozialleistungen mit Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1992,""Tschechische Republik"",""Barleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1992,""Tschechische Republik"",""Barleistungen (ohne Bedürftigkeitsprüfung)"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1992,""Dänemark"",""Sozialschutzleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1992,""Dänemark"",""Sozialleistungen ohne Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1992,""Dänemark"",""Sozialleistungen mit Bedürftigkeitsprüfung"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1992,""Dänemark"",""Barleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1992,""Dänemark"",""Barleistungen (ohne Bedürftigkeitsprüfung)"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
"1992,""Deutschland (bis 1990 früheres Gebiet der BRD)"",""Sozialschutzleistungen"",""Alle Systeme"",""Kaufkraftstandards (KKS) pro Einwohner"","":"","""""
