Series Name,Series Code,Country Name,Country Code,1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Turkey,TUR,14.3922357339889,13.673802849848,21.3621312072128,19.8916075029397,21.5426581369532,24.5817176843052,20.5683373541523,18.5778590817683,19.448771835797,26.577921430235,24.4606945449228,22.2431333450905,22.7504811251205,21.017781274558,21.6504180470485,21.2202245714767,22.8262573257972,22.5736725360337,20.4488078160037,22.2624079166887,23.667365858549,22.2722551378665,23.7643347684811,23.33112657372,22.0585132467006
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,United States,USA,9.68074712595341,9.51921564454307,9.86404661258997,10.6055145706062,10.7107218697413,11.0797971543292,10.4847990487138,10.2682808067057,10.664643353056,9.66607053553137,9.13238644013572,9.03751910184203,9.62536806733205,9.99639827502118,10.6547916669072,11.4979069440554,12.5143984658305,11.0116564284852,12.3783009403936,13.5737920131853,13.6066084998349,13.6393115137468,13.6564648642626,12.5539568106003,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,United Kingdom,GBR,22.2027030513114,24.0510977570669,25.2578612875002,25.4323811982607,26.0142233172808,25.5084118420842,23.9079962623992,23.7463584686718,24.9679191534912,24.8147602793209,23.8801451752097,23.5970249080646,23.4749868569686,24.7443740544287,26.7780446317918,24.8641639830425,26.9010364058988,26.2317048370506,28.2565492206693,30.5223199535213,29.7986799152739,29.7570136867708,28.074601641719,27.6308074804802,28.0898436150682
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Slovenia,SVN,..,..,..,45.60678069108,46.1893400688448,47.5938086300209,47.5407899295888,44.1477155052388,50.00560338316,51.7489200512356,52.1575729009754,50.8958502408984,54.9662359275651,59.5799406279248,64.6953930634183,67.5970600995127,66.1088340049416,57.2426782788636,64.2881147552492,70.3739551320385,73.2741045544281,75.1866558224673,76.3896629485392,77.935844398111,79.0564584226799
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Slovak Republic,SVK,66.4742198113206,55.1373890303243,58.1544443913734,56.6849123260457,52.2867787106934,55.0673474769056,46.6571717360448,47.4785296379812,54.0657206165597,57.7947843673601,57.4823922268769,62.1928456495847,68.7124767038628,72.0456267341533,81.0266400626251,83.2757640520849,80.0453363471909,67.6092509853598,76.3352577866102,85.0470339297725,91.4301238786082,93.8195013492877,91.8030974993811,93.4881916398231,93.8146251728242
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Portugal,PRT,24.4548535693468,23.5964644305478,25.1296433204711,26.765554039587,26.5468088870944,27.1454164091975,27.3218355632049,26.4718665153461,28.19085673866,27.4239965888504,26.945552821905,26.7517090393724,27.2543875345978,26.7342551972326,29.9170673289114,31.0057427828733,31.1252705012107,27.0807114054582,29.8732519100281,34.2913336262909,37.7105706067037,39.516176040327,40.0743741060985,40.5607743215913,40.2700773669263
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Norway,NOR,37.1365883115462,37.1581716156184,37.3372653784984,37.1831664458574,39.9429387943189,40.5578082998342,36.907664426853,38.6042991196183,45.71406591745,44.9542850020932,40.3949926322651,39.6485456710955,41.1148603716875,43.4253487532568,44.6648147078154,43.3042209730703,45.9468484443728,39.2160260246335,39.819789976329,41.3370043334946,40.6160714526603,39.1953591083945,38.8605995915769,37.3859197615474,33.7867802495345
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Luxembourg,LUX,96.707857053524,96.9689675322849,100.180980034529,102.475306045934,106.524281977711,115.847004216419,126.178536185983,130.829615551375,148.484907700666,147.439463050704,141.96461158688,138.90022793065,153.035736645875,161.676408809019,176.246890384932,182.888001090727,187.111880717512,164.069506600635,174.523090007987,177.989656164445,186.444307394605,192.133327384353,206.301663332525,227.113480053523,227.937499654026
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Canada,CAN,26.1798918743776,29.132107095277,32.7791900515132,36.1050359903157,37.1091557636143,38.1431836637158,40.0448097984093,41.8771952181081,44.2374680237305,42.0362032608362,40.0344023970702,36.8278393844751,37.2879509727474,36.7951092003828,35.3293477379479,34.1531662527359,34.3231354394609,28.435750447407,29.0719564222074,30.5646237517811,30.2136045046982,30.1633384838833,31.5805875296314,31.5797105316553,30.9995738686805
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Czech Republic,CZE,40.20640569847,40.286404879494,37.4211637750411,40.5614781202634,38.4377437766948,40.5736208929351,42.2834171961279,43.0185044473249,48.3296594917876,49.1356506218688,45.2424144761489,47.061702585676,57.4301590104851,62.3147774136794,65.2916301101955,66.5527781975088,63.3644771832863,58.8127166241652,66.1767060370275,71.3071567311351,76.1700746223071,76.8709518101924,82.5456924295555,82.9552442961699,80.3418874114248
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Estonia,EST,..,..,..,67.8496884399518,61.7945389722772,71.6074053647034,74.3811771304456,70.2322712544099,61.6361238077949,61.3459162142177,58.3192386281315,57.395627832979,61.5182283428432,65.9058939990884,63.4885392231032,63.1956987780916,66.7977432058297,60.8047113869508,75.0782302117066,86.5397252728219,85.9894385872615,84.4650644828435,83.056925793124,79.2856910248626,79.5936576645319
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Spain,ESP,16.2652184428755,17.7938566180114,20.408590200644,21.9318278301117,23.1184117772423,25.7537414414467,26.1832135469874,26.3972364869867,28.616170212766,27.8622156654201,26.4771356274223,25.4473086803274,25.1788906688955,24.6677828332434,24.8719709040114,25.7077350535294,25.3168991056318,22.6737989720435,25.5198151932672,28.9210799943573,30.7016632716459,32.2193882028092,32.6673898893469,33.1777668901927,33.0674390021646
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 06/30/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
