"COUNTRY","Country","SEX","Sex","AGE","Age","SERIES","Series","FREQ","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BEL","Belgium","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2001","2001","PC","Percentage","0","Units",,,51.3439031043814,,
"BEL","Belgium","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2002","2002","PC","Percentage","0","Units",,,51.7431195112032,,
"BEL","Belgium","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2003","2003","PC","Percentage","0","Units",,,51.8253345637773,,
"BEL","Belgium","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2004","2004","PC","Percentage","0","Units",,,52.5455530567843,,
"BEL","Belgium","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2005","2005","PC","Percentage","0","Units",,,53.2994171441142,,
"BEL","Belgium","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2006","2006","PC","Percentage","0","Units",,,53.1142993985779,,
"BEL","Belgium","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2007","2007","PC","Percentage","0","Units",,,53.5928121465796,,
"BEL","Belgium","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2008","2008","PC","Percentage","0","Units",,,53.6782082958639,,
"BEL","Belgium","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2009","2009","PC","Percentage","0","Units",,,53.4728382957175,,
"BEL","Belgium","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2010","2010","PC","Percentage","0","Units",,,54.0698568573719,,
"BEL","Belgium","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2011","2011","PC","Percentage","0","Units",,,53.1986125848806,,
"BEL","Belgium","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2012","2012","PC","Percentage","0","Units",,,53.2490733627797,,
"BEL","Belgium","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2013","2013","PC","Percentage","0","Units",,,53.5589993634308,,
"BEL","Belgium","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2014","2014","PC","Percentage","0","Units",,,53.5059784121359,,
"BEL","Belgium","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2015","2015","PC","Percentage","0","Units",,,53.30946284457,,
"BEL","Belgium","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2016","2016","PC","Percentage","0","Units",,,53.0625761721182,,
"CAN","Canada","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","1991","1991","PC","Percentage","0","Units",,,66.5778120399567,,
"CAN","Canada","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","1992","1992","PC","Percentage","0","Units",,,65.7028675658458,,
"CAN","Canada","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","1993","1993","PC","Percentage","0","Units",,,65.3375940904626,,
"CAN","Canada","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","1994","1994","PC","Percentage","0","Units",,,65.1540621255745,,
"CAN","Canada","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","1995","1995","PC","Percentage","0","Units",,,64.8242292654081,,
"CAN","Canada","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","1996","1996","PC","Percentage","0","Units",,,64.6643001807531,,
"CAN","Canada","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","1997","1997","PC","Percentage","0","Units",,,64.8672714836945,,
"CAN","Canada","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","1998","1998","PC","Percentage","0","Units",,,65.119048125295,,
"CAN","Canada","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","1999","1999","PC","Percentage","0","Units",,,65.5206922941072,,
"CAN","Canada","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2000","2000","PC","Percentage","0","Units",,,65.756592056323,,
"CAN","Canada","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2001","2001","PC","Percentage","0","Units",,,65.9072937172273,,
"CAN","Canada","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2002","2002","PC","Percentage","0","Units",,,66.8604610627833,,
"CAN","Canada","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2003","2003","PC","Percentage","0","Units",,,67.5610040442893,,
"CAN","Canada","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2004","2004","PC","Percentage","0","Units",,,67.4868842772455,,
"CAN","Canada","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2005","2005","PC","Percentage","0","Units",,,67.1408833318074,,
"CAN","Canada","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2006","2006","PC","Percentage","0","Units",,,67.0179275786016,,
"CAN","Canada","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2007","2007","PC","Percentage","0","Units",,,67.4421235832448,,
"CAN","Canada","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2008","2008","PC","Percentage","0","Units",,,67.5602533550858,,
"CAN","Canada","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2009","2009","PC","Percentage","0","Units",,,67.0915058938276,,
"CAN","Canada","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2010","2010","PC","Percentage","0","Units",,,66.9132786408014,,
"CAN","Canada","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2011","2011","PC","Percentage","0","Units",,,66.7044028401124,,
"CAN","Canada","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2012","2012","PC","Percentage","0","Units",,,66.5059103748095,,
"CAN","Canada","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2013","2013","PC","Percentage","0","Units",,,66.4552460776293,,
"CAN","Canada","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2014","2014","PC","Percentage","0","Units",,,65.9911595480406,,
"CAN","Canada","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2015","2015","PC","Percentage","0","Units",,,65.83844732406,,
"CAN","Canada","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2016","2016","PC","Percentage","0","Units",,,65.7047537737139,,
"CZE","Czech Republic","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","1993","1993","PC","Percentage","0","Units",,,61.422410195336,,
"CZE","Czech Republic","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","1994","1994","PC","Percentage","0","Units",,,61.617901970204,,
"CZE","Czech Republic","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","1995","1995","PC","Percentage","0","Units",,,61.5079459204118,,
"CZE","Czech Republic","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","1996","1996","PC","Percentage","0","Units",,,61.2421987419342,,
"CZE","Czech Republic","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","1997","1997","PC","Percentage","0","Units",,,61.0914727493757,,
"CZE","Czech Republic","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","1998","1998","PC","Percentage","0","Units",,,61.026980053936,,
"CZE","Czech Republic","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","1999","1999","PC","Percentage","0","Units",,,60.9940172984176,,
"CZE","Czech Republic","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2000","2000","PC","Percentage","0","Units",,,60.398888168532,,
"CZE","Czech Republic","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2001","2001","PC","Percentage","0","Units",,,60.0196703759175,,
"CZE","Czech Republic","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2002","2002","PC","Percentage","0","Units",,,59.8518019020761,,
"CZE","Czech Republic","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2003","2003","PC","Percentage","0","Units",,,59.4240989243826,,
"CZE","Czech Republic","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2004","2004","PC","Percentage","0","Units",,,59.1753908591985,,
"CZE","Czech Republic","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2005","2005","PC","Percentage","0","Units",,,59.3643873336393,,
"CZE","Czech Republic","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2006","2006","PC","Percentage","0","Units",,,59.2616233344352,,
"CZE","Czech Republic","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2007","2007","PC","Percentage","0","Units",,,58.7710340907215,,
"CZE","Czech Republic","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2008","2008","PC","Percentage","0","Units",,,58.5053333035175,,
"CZE","Czech Republic","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2009","2009","PC","Percentage","0","Units",,,58.6774843232222,,
"CZE","Czech Republic","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2010","2010","PC","Percentage","0","Units",,,58.4441224522348,,
"CZE","Czech Republic","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2011","2011","PC","Percentage","0","Units",,,58.3279009849672,,
"CZE","Czech Republic","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2012","2012","PC","Percentage","0","Units",,,58.6413013953896,,
"CZE","Czech Republic","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2013","2013","PC","Percentage","0","Units",,,59.2754561445418,,
"CZE","Czech Republic","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2014","2014","PC","Percentage","0","Units",,,59.3100303521054,,
"CZE","Czech Republic","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2015","2015","PC","Percentage","0","Units",,,59.4242640988731,,
"CZE","Czech Republic","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2016","2016","PC","Percentage","0","Units",,,59.9219558226786,,
"DNK","Denmark","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","1991","1991","PC","Percentage","0","Units",,,67.8274843222766,,
"DNK","Denmark","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","1992","1992","PC","Percentage","0","Units",,,68.104551235585,,
"DNK","Denmark","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","1993","1993","PC","Percentage","0","Units",,,67.3709260732013,,
"DNK","Denmark","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","1994","1994","PC","Percentage","0","Units",,,64.3754034281436,,
"DNK","Denmark","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","1995","1995","PC","Percentage","0","Units",,,64.6052714113274,,
"DNK","Denmark","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","1996","1996","PC","Percentage","0","Units",,,65.1955577740317,,
"DNK","Denmark","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","1997","1997","PC","Percentage","0","Units",,,65.4407529130808,,
"DNK","Denmark","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","1998","1998","PC","Percentage","0","Units",,,65.1787417980053,,
"DNK","Denmark","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","1999","1999","PC","Percentage","0","Units",,,65.8005549662405,,
"DNK","Denmark","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2000","2000","PC","Percentage","0","Units",,,65.5384039658576,,
"DNK","Denmark","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2001","2001","PC","Percentage","0","Units",,,65.940643733735,,
"DNK","Denmark","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2002","2002","PC","Percentage","0","Units",,,65.5190710611776,,
"DNK","Denmark","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2003","2003","PC","Percentage","0","Units",,,65.5058040820525,,
"DNK","Denmark","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2004","2004","PC","Percentage","0","Units",,,66.0309373128491,,
"DNK","Denmark","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2005","2005","PC","Percentage","0","Units",,,65.6487595818516,,
"DNK","Denmark","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2006","2006","PC","Percentage","0","Units",,,65.9327007791925,,
"DNK","Denmark","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2007","2007","PC","Percentage","0","Units",,,65.7132193140493,,
"DNK","Denmark","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2008","2008","PC","Percentage","0","Units",,,65.997131716389,,
"DNK","Denmark","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2009","2009","PC","Percentage","0","Units",,,65.334808254921,,
"DNK","Denmark","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2010","2010","PC","Percentage","0","Units",,,64.3650642283542,,
"DNK","Denmark","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2011","2011","PC","Percentage","0","Units",,,63.9342973335483,,
"DNK","Denmark","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2012","2012","PC","Percentage","0","Units",,,63.1581687373286,,
"DNK","Denmark","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2013","2013","PC","Percentage","0","Units",,,62.3558729062054,,
"DNK","Denmark","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2014","2014","PC","Percentage","0","Units",,,62.1892180457566,,
"DNK","Denmark","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2015","2015","PC","Percentage","0","Units",,,62.2181945281446,,
"DNK","Denmark","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2016","2016","PC","Percentage","0","Units",,,63.5077103430202,,
"FIN","Finland","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","1991","1991","PC","Percentage","0","Units",,,68.2434228009567,,
"FIN","Finland","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","1992","1992","PC","Percentage","0","Units",,,66.7635402906209,,
"FIN","Finland","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","1993","1993","PC","Percentage","0","Units",,,65.8953457796476,,
"FIN","Finland","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","1994","1994","PC","Percentage","0","Units",,,65.0640188136922,,
"FIN","Finland","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","1995","1995","PC","Percentage","0","Units",,,65.372589890568,,
"FIN","Finland","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","1996","1996","PC","Percentage","0","Units",,,65.472481827622,,
"FIN","Finland","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","1997","1997","PC","Percentage","0","Units",,,64.9145520455722,,
"FIN","Finland","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","1998","1998","PC","Percentage","0","Units",,,65.291387313048,,
"FIN","Finland","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","1999","1999","PC","Percentage","0","Units",,,66.2811616551015,,
"FIN","Finland","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2000","2000","PC","Percentage","0","Units",,,66.9059215585747,,
"FIN","Finland","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2001","2001","PC","Percentage","0","Units",,,67.1783064722436,,
"FIN","Finland","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2002","2002","PC","Percentage","0","Units",,,67.0921623691601,,
"FIN","Finland","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2003","2003","PC","Percentage","0","Units",,,66.760061130922,,
"FIN","Finland","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2004","2004","PC","Percentage","0","Units",,,66.4635694338665,,
"FIN","Finland","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2005","2005","PC","Percentage","0","Units",,,66.8354430379747,,
"FIN","Finland","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2006","2006","PC","Percentage","0","Units",,,67.3984355286399,,
"FIN","Finland","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2007","2007","PC","Percentage","0","Units",,,67.6965586536046,,
"FIN","Finland","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2008","2008","PC","Percentage","0","Units",,,68.0649188514357,,
"FIN","Finland","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2009","2009","PC","Percentage","0","Units",,,66.6418095948297,,
"FIN","Finland","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2010","2010","PC","Percentage","0","Units",,,66.5512978986403,,
"FIN","Finland","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2011","2011","PC","Percentage","0","Units",,,66.609167077378,,
"FIN","Finland","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2012","2012","PC","Percentage","0","Units",,,66.4620672722809,,
"FIN","Finland","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2013","2013","PC","Percentage","0","Units",,,65.4843444227006,,
"FIN","Finland","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2014","2014","PC","Percentage","0","Units",,,65.8363858363858,,
"FIN","Finland","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2015","2015","PC","Percentage","0","Units",,,66.0409556313993,,
"FIN","Finland","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2016","2016","PC","Percentage","0","Units",,,65.778900378758,,
"FRA","France","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","1991","1991","PC","Percentage","0","Units",,,54.5558642002607,,
"FRA","France","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","1992","1992","PC","Percentage","0","Units",,,54.6722180207313,,
"FRA","France","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","1993","1993","PC","Percentage","0","Units",,,54.6650874382323,,
"FRA","France","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","1994","1994","PC","Percentage","0","Units",,,54.5290116232615,,
"FRA","France","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","1995","1995","PC","Percentage","0","Units",,,54.5018736664368,,
"FRA","France","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","1996","1996","PC","Percentage","0","Units",,,54.8242808421658,,
"FRA","France","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","1997","1997","PC","Percentage","0","Units",,,54.4395554418534,,
"FRA","France","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","1998","1998","PC","Percentage","0","Units",,,54.5201077361075,,
"FRA","France","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","1999","1999","PC","Percentage","0","Units",,,54.6491830313442,,
"FRA","France","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2000","2000","PC","Percentage","0","Units",,,54.765177000887,,
"FRA","France","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2001","2001","PC","Percentage","0","Units",,,54.7410376306872,,
"FRA","France","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2002","2002","PC","Percentage","0","Units",,,54.8898021183708,,
"FRA","France","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2003","2003","PC","Percentage","0","Units",,,56.3396445082736,,
"FRA","France","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2004","2004","PC","Percentage","0","Units",,,56.3218979959032,,
"FRA","France","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2005","2005","PC","Percentage","0","Units",,,56.2385046496989,,
"FRA","France","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2006","2006","PC","Percentage","0","Units",,,56.1487340276999,,
"FRA","France","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2007","2007","PC","Percentage","0","Units",,,56.2745110230337,,
"FRA","France","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2008","2008","PC","Percentage","0","Units",,,56.3644706034958,,
"FRA","France","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2009","2009","PC","Percentage","0","Units",,,56.5808527192054,,
"FRA","France","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2010","2010","PC","Percentage","0","Units",,,56.5123851598989,,
"FRA","France","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2011","2011","PC","Percentage","0","Units",,,56.2623240504127,,
"FRA","France","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2012","2012","PC","Percentage","0","Units",,,56.474356421062,,
"FRA","France","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2013","2013","PC","Percentage","0","Units",,,56.4483924483234,,
"FRA","France","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2014","2014","PC","Percentage","0","Units",,,56.299804369669,,
"FRA","France","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2015","2015","PC","Percentage","0","Units",,,56.1454461710741,,
"FRA","France","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2016","2016","PC","Percentage","0","Units",,,56.0360896247755,,
"DEU","Germany","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","1991","1991","PC","Percentage","0","Units",,,59.0798489304214,,
"DEU","Germany","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","1992","1992","PC","Percentage","0","Units",,,58.4448259531139,,
"DEU","Germany","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","1993","1993","PC","Percentage","0","Units",,,58.0320990552198,,
"DEU","Germany","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","1994","1994","PC","Percentage","0","Units",,,57.7030976037405,,
"DEU","Germany","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","1995","1995","PC","Percentage","0","Units",,,57.3693105658838,,
"DEU","Germany","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","1996","1996","PC","Percentage","0","Units",,,57.3970336400314,,
"DEU","Germany","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","1997","1997","PC","Percentage","0","Units",,,57.5347613679068,,
"DEU","Germany","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","1998","1998","PC","Percentage","0","Units",,,57.8557718672882,,
"DEU","Germany","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","1999","1999","PC","Percentage","0","Units",,,57.8433949589649,,
"DEU","Germany","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2000","2000","PC","Percentage","0","Units",,,57.5532131729901,,
"DEU","Germany","MW","All persons","900000","Total","LFPR","Labour force participation rate","A","Annual","2001","2001","PC","Percentage","0","Units",,,57.5438596491228,,
