"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","A","Annual","2008","2008","PC","Percentage","0","Units",,,4.14166666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","A","Annual","2009","2009","PC","Percentage","0","Units",,,5.325,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","A","Annual","2010","2010","PC","Percentage","0","Units",,,4.84166666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","A","Annual","2011","2011","PC","Percentage","0","Units",,,4.575,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","A","Annual","2012","2012","PC","Percentage","0","Units",,,4.88333333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","A","Annual","2013","2013","PC","Percentage","0","Units",,,5.35833333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","A","Annual","2014","2014","PC","Percentage","0","Units",,,5.64166666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","A","Annual","2015","2015","PC","Percentage","0","Units",,,5.73333333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","A","Annual","2016","2016","PC","Percentage","0","Units",,,6.03333333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","A","Annual","1991","1991","PC","Percentage","0","Units",,,6.44166666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","A","Annual","1992","1992","PC","Percentage","0","Units",,,7.09166666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","A","Annual","1993","1993","PC","Percentage","0","Units",,,8.625,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","A","Annual","1994","1994","PC","Percentage","0","Units",,,9.75,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","A","Annual","1995","1995","PC","Percentage","0","Units",,,9.675,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","A","Annual","1996","1996","PC","Percentage","0","Units",,,9.54166666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","A","Annual","1997","1997","PC","Percentage","0","Units",,,9.21666666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","A","Annual","1998","1998","PC","Percentage","0","Units",,,9.34166666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","A","Annual","1999","1999","PC","Percentage","0","Units",,,8.475,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","A","Annual","2000","2000","PC","Percentage","0","Units",,,6.875,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","A","Annual","2001","2001","PC","Percentage","0","Units",,,6.59166666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","A","Annual","2002","2002","PC","Percentage","0","Units",,,7.525,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","A","Annual","2003","2003","PC","Percentage","0","Units",,,8.175,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","A","Annual","2004","2004","PC","Percentage","0","Units",,,8.39166666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","A","Annual","2005","2005","PC","Percentage","0","Units",,,8.43333333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","A","Annual","2006","2006","PC","Percentage","0","Units",,,8.25,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","A","Annual","2007","2007","PC","Percentage","0","Units",,,7.48333333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","A","Annual","2008","2008","PC","Percentage","0","Units",,,6.975,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","A","Annual","2009","2009","PC","Percentage","0","Units",,,7.89166666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","A","Annual","2010","2010","PC","Percentage","0","Units",,,8.30833333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","A","Annual","2011","2011","PC","Percentage","0","Units",,,7.16666666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","A","Annual","2012","2012","PC","Percentage","0","Units",,,7.56666666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","A","Annual","2013","2013","PC","Percentage","0","Units",,,8.45,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","A","Annual","2014","2014","PC","Percentage","0","Units",,,8.53333333333334,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","A","Annual","2015","2015","PC","Percentage","0","Units",,,8.5,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","A","Annual","2016","2016","PC","Percentage","0","Units",,,7.85833333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","A","Annual","1991","1991","PC","Percentage","0","Units",,,10.325,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","A","Annual","1992","1992","PC","Percentage","0","Units",,,11.1916666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","A","Annual","1993","1993","PC","Percentage","0","Units",,,11.4,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","A","Annual","1994","1994","PC","Percentage","0","Units",,,10.4166666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","A","Annual","1995","1995","PC","Percentage","0","Units",,,9.50833333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","A","Annual","1996","1996","PC","Percentage","0","Units",,,9.60833333333334,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","A","Annual","1997","1997","PC","Percentage","0","Units",,,9.11666666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","A","Annual","1998","1998","PC","Percentage","0","Units",,,8.28333333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","A","Annual","1999","1999","PC","Percentage","0","Units",,,7.59166666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","A","Annual","2000","2000","PC","Percentage","0","Units",,,6.81666666666667,"B","Break"
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","A","Annual","2001","2001","PC","Percentage","0","Units",,,7.21666666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","A","Annual","2002","2002","PC","Percentage","0","Units",,,7.675,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","A","Annual","2003","2003","PC","Percentage","0","Units",,,7.575,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","A","Annual","2004","2004","PC","Percentage","0","Units",,,7.19166666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","A","Annual","2005","2005","PC","Percentage","0","Units",,,6.75833333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","A","Annual","2006","2006","PC","Percentage","0","Units",,,6.33333333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","A","Annual","2007","2007","PC","Percentage","0","Units",,,6.05,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","A","Annual","2008","2008","PC","Percentage","0","Units",,,6.14166666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","A","Annual","2009","2009","PC","Percentage","0","Units",,,8.35,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","A","Annual","2010","2010","PC","Percentage","0","Units",,,8.05833333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","A","Annual","2011","2011","PC","Percentage","0","Units",,,7.525,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","A","Annual","2012","2012","PC","Percentage","0","Units",,,7.29166666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","A","Annual","2013","2013","PC","Percentage","0","Units",,,7.08333333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","A","Annual","2014","2014","PC","Percentage","0","Units",,,6.90833333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","A","Annual","2015","2015","PC","Percentage","0","Units",,,6.90833333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","A","Annual","2016","2016","PC","Percentage","0","Units",,,6.99166666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","CZE","Czech Republic","ST","Level, ratio or index","A","Annual","1993","1993","PC","Percentage","0","Units",,,4.30833333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","CZE","Czech Republic","ST","Level, ratio or index","A","Annual","1994","1994","PC","Percentage","0","Units",,,4.29166666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","CZE","Czech Republic","ST","Level, ratio or index","A","Annual","1995","1995","PC","Percentage","0","Units",,,4.00833333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","CZE","Czech Republic","ST","Level, ratio or index","A","Annual","1996","1996","PC","Percentage","0","Units",,,3.89166666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","CZE","Czech Republic","ST","Level, ratio or index","A","Annual","1997","1997","PC","Percentage","0","Units",,,4.775,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","CZE","Czech Republic","ST","Level, ratio or index","A","Annual","1998","1998","PC","Percentage","0","Units",,,6.46666666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","CZE","Czech Republic","ST","Level, ratio or index","A","Annual","1999","1999","PC","Percentage","0","Units",,,8.7,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","CZE","Czech Republic","ST","Level, ratio or index","A","Annual","2000","2000","PC","Percentage","0","Units",,,8.775,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","CZE","Czech Republic","ST","Level, ratio or index","A","Annual","2001","2001","PC","Percentage","0","Units",,,8.125,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","CZE","Czech Republic","ST","Level, ratio or index","A","Annual","2002","2002","PC","Percentage","0","Units",,,7.29166666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","CZE","Czech Republic","ST","Level, ratio or index","A","Annual","2003","2003","PC","Percentage","0","Units",,,7.775,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","CZE","Czech Republic","ST","Level, ratio or index","A","Annual","2004","2004","PC","Percentage","0","Units",,,8.29166666666667,"B","Break"
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","CZE","Czech Republic","ST","Level, ratio or index","A","Annual","2005","2005","PC","Percentage","0","Units",,,7.94166666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","CZE","Czech Republic","ST","Level, ratio or index","A","Annual","2006","2006","PC","Percentage","0","Units",,,7.13333333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","CZE","Czech Republic","ST","Level, ratio or index","A","Annual","2007","2007","PC","Percentage","0","Units",,,5.325,"B","Break"
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","CZE","Czech Republic","ST","Level, ratio or index","A","Annual","2008","2008","PC","Percentage","0","Units",,,4.40833333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","CZE","Czech Republic","ST","Level, ratio or index","A","Annual","2009","2009","PC","Percentage","0","Units",,,6.68333333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","CZE","Czech Republic","ST","Level, ratio or index","A","Annual","2010","2010","PC","Percentage","0","Units",,,7.29166666666667,"B","Break"
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","CZE","Czech Republic","ST","Level, ratio or index","A","Annual","2011","2011","PC","Percentage","0","Units",,,6.71666666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","CZE","Czech Republic","ST","Level, ratio or index","A","Annual","2012","2012","PC","Percentage","0","Units",,,6.975,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","CZE","Czech Republic","ST","Level, ratio or index","A","Annual","2013","2013","PC","Percentage","0","Units",,,6.96666666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","CZE","Czech Republic","ST","Level, ratio or index","A","Annual","2014","2014","PC","Percentage","0","Units",,,6.11666666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","CZE","Czech Republic","ST","Level, ratio or index","A","Annual","2015","2015","PC","Percentage","0","Units",,,5.05833333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","CZE","Czech Republic","ST","Level, ratio or index","A","Annual","2016","2016","PC","Percentage","0","Units",,,3.96666666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","DNK","Denmark","ST","Level, ratio or index","A","Annual","1991","1991","PC","Percentage","0","Units",,,7.85,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","DNK","Denmark","ST","Level, ratio or index","A","Annual","1992","1992","PC","Percentage","0","Units",,,8.6,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","DNK","Denmark","ST","Level, ratio or index","A","Annual","1993","1993","PC","Percentage","0","Units",,,9.55,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","DNK","Denmark","ST","Level, ratio or index","A","Annual","1994","1994","PC","Percentage","0","Units",,,7.7,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","DNK","Denmark","ST","Level, ratio or index","A","Annual","1995","1995","PC","Percentage","0","Units",,,6.71666666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","DNK","Denmark","ST","Level, ratio or index","A","Annual","1996","1996","PC","Percentage","0","Units",,,6.33333333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","DNK","Denmark","ST","Level, ratio or index","A","Annual","1997","1997","PC","Percentage","0","Units",,,5.24166666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","DNK","Denmark","ST","Level, ratio or index","A","Annual","1998","1998","PC","Percentage","0","Units",,,4.86666666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","DNK","Denmark","ST","Level, ratio or index","A","Annual","1999","1999","PC","Percentage","0","Units",,,5.16666666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","DNK","Denmark","ST","Level, ratio or index","A","Annual","2000","2000","PC","Percentage","0","Units",,,4.325,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","DNK","Denmark","ST","Level, ratio or index","A","Annual","2001","2001","PC","Percentage","0","Units",,,4.525,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","DNK","Denmark","ST","Level, ratio or index","A","Annual","2002","2002","PC","Percentage","0","Units",,,4.58333333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","DNK","Denmark","ST","Level, ratio or index","A","Annual","2003","2003","PC","Percentage","0","Units",,,5.40833333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","DNK","Denmark","ST","Level, ratio or index","A","Annual","2004","2004","PC","Percentage","0","Units",,,5.5,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","DNK","Denmark","ST","Level, ratio or index","A","Annual","2005","2005","PC","Percentage","0","Units",,,4.84166666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","DNK","Denmark","ST","Level, ratio or index","A","Annual","2006","2006","PC","Percentage","0","Units",,,3.90833333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","DNK","Denmark","ST","Level, ratio or index","A","Annual","2007","2007","PC","Percentage","0","Units",,,3.75,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","DNK","Denmark","ST","Level, ratio or index","A","Annual","2008","2008","PC","Percentage","0","Units",,,3.46666666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","DNK","Denmark","ST","Level, ratio or index","A","Annual","2009","2009","PC","Percentage","0","Units",,,5.99166666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","DNK","Denmark","ST","Level, ratio or index","A","Annual","2010","2010","PC","Percentage","0","Units",,,7.475,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","DNK","Denmark","ST","Level, ratio or index","A","Annual","2011","2011","PC","Percentage","0","Units",,,7.56666666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","DNK","Denmark","ST","Level, ratio or index","A","Annual","2012","2012","PC","Percentage","0","Units",,,7.53333333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","DNK","Denmark","ST","Level, ratio or index","A","Annual","2013","2013","PC","Percentage","0","Units",,,7,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","DNK","Denmark","ST","Level, ratio or index","A","Annual","2014","2014","PC","Percentage","0","Units",,,6.53333333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","DNK","Denmark","ST","Level, ratio or index","A","Annual","2015","2015","PC","Percentage","0","Units",,,6.16666666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","DNK","Denmark","ST","Level, ratio or index","A","Annual","2016","2016","PC","Percentage","0","Units",,,6.19166666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","1991","1991","PC","Percentage","0","Units",,,6.60833333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","1992","1992","PC","Percentage","0","Units",,,11.7083333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","1993","1993","PC","Percentage","0","Units",,,16.3416666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","1994","1994","PC","Percentage","0","Units",,,16.5833333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","1995","1995","PC","Percentage","0","Units",,,15.4,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","1996","1996","PC","Percentage","0","Units",,,14.5666666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","1997","1997","PC","Percentage","0","Units",,,12.6416666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","1998","1998","PC","Percentage","0","Units",,,11.3583333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","1999","1999","PC","Percentage","0","Units",,,10.2166666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","2000","2000","PC","Percentage","0","Units",,,9.78333333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","2001","2001","PC","Percentage","0","Units",,,9.125,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","2002","2002","PC","Percentage","0","Units",,,9.075,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","2003","2003","PC","Percentage","0","Units",,,9.00833333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","2004","2004","PC","Percentage","0","Units",,,8.825,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","2005","2005","PC","Percentage","0","Units",,,8.4,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","2006","2006","PC","Percentage","0","Units",,,7.71666666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","2007","2007","PC","Percentage","0","Units",,,6.86666666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","2008","2008","PC","Percentage","0","Units",,,6.36666666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","2009","2009","PC","Percentage","0","Units",,,8.24166666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","2010","2010","PC","Percentage","0","Units",,,8.38333333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","2011","2011","PC","Percentage","0","Units",,,7.775,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","2012","2012","PC","Percentage","0","Units",,,7.68333333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","2013","2013","PC","Percentage","0","Units",,,8.19166666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","2014","2014","PC","Percentage","0","Units",,,8.65833333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","2015","2015","PC","Percentage","0","Units",,,9.375,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","FIN","Finland","ST","Level, ratio or index","A","Annual","2016","2016","PC","Percentage","0","Units",,,8.79166666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","FRA","France","ST","Level, ratio or index","A","Annual","1991","1991","PC","Percentage","0","Units",,,9.625,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","FRA","France","ST","Level, ratio or index","A","Annual","1992","1992","PC","Percentage","0","Units",,,10.6416666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","FRA","France","ST","Level, ratio or index","A","Annual","1993","1993","PC","Percentage","0","Units",,,11.825,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","FRA","France","ST","Level, ratio or index","A","Annual","1994","1994","PC","Percentage","0","Units",,,12.275,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","FRA","France","ST","Level, ratio or index","A","Annual","1995","1995","PC","Percentage","0","Units",,,11.95,,
